Séance,Chapitre,Contenu de la séance,Pièce jointe
2025-09-01,Fleche,être encerclé,
2025-09-02,Fleche,être encerclé,
2025-09-03,Fleche,être encerclé,
2025-09-04,Fleche,être encerclé,
2025-09-05,Fleche,être encerclé,
2025-09-06,Fleche,être encerclé,
2025-09-07,Fleche,être encerclé,
2025-09-08,Fleche,être encerclé,
2025-09-09,Fleche,être encerclé,
2025-09-10,Fleche,être encerclé,
2025-09-11,Fleche,être encerclé,
2025-09-12,Fleche,être encerclé,
2025-09-13,Fleche,être encerclé,
2025-09-14,Fleche,être encerclé,
2025-09-15,Fleche,être encerclé,
2025-09-16,Fleche,être encerclé,
2025-09-17,Fleche,être encerclé,
2025-09-18,Fleche,être encerclé,
2025-10-23,Calcul littéral,Je suis capable de montrer,C:\Users\Utilisateur\Desktop\Lycee_Felix_Faure\Seconde\2nde_7\2nde_7_pièce jointe\Capture d'écran 2024-07-11 133141.png
2025-10-27,Calcul littéral,Je suis capable de démontrer,
2025-09-01,Géométrie dans l’espace,Être en place,
2025-09-12,Danse,Louis,C:\Users\Utilisateur\Downloads\Tarifs_de_l_offre_Sosh.pdf
2025-10-13,Arithmétiques,congruence,
2025-10-14,Arithmétiques,congruence,
2025-10-15,Arithmétiques,congruence,
2025-10-16,Arithmétiques,congruence,
2025-10-17,Arithmétiques,congruence,
2025-10-18,Arithmétiques,congruence,
2025-10-19,Arithmétiques,congruence,
2025-10-20,Arithmétiques,congruence,
2025-10-21,Arithmétiques,congruence,
2025-10-22,Arithmétiques,congruence,
2025-10-23,Arithmétiques,congruence,
2025-10-30,Surface,Léna,C:\Users\Utilisateur\Downloads\2025_06_BP_juin.pdf
2025-10-31,Lip,Eléo,
